nameShepherd,verse,ytLink,titlePreaches
Juan Carlos Soto,Mateo 21:28-31,https://www.youtube.com/watch?v=29l977-_8BU&ab_channel=ManadelCieloChannel,LA salida a tus pruebas y dificultades
Juan Carlos Soto,Hechos 4:36-37,https://www.youtube.com/watch?v=Y-XdfsDcWqk&ab_channel=ManadelCieloChannel,De la derrota a la victoria
Juan Carlos Soto,Salmos 51:16-17,https://www.youtube.com/watch?v=gBV1YEJ_dIE&ab_channel=Reflexi%C3%B3nPentecostal,Cuídese de desagradar a Dios
Juan Carlos Soto,2 corintios 12:9-10,https://www.youtube.com/watch?v=L2jpMibasOQ&ab_channel=humorcristiano,Cuando las cuentas no dan
Carlos Hoyos ,Romanos 12-2,https://www.youtube.com/watch?v=WLkWabp3pLA&ab_channel=PASTORCARLOSHOYOS,Dios advierte
Carlos Hoyos ,1 Timoteo 4:16,https://www.youtube.com/watch?v=PkqdyXon1zw&ab_channel=PASTORCARLOSHOYOS,Estamos en construcion de nuestra familia
Carlos Hoyos ,Genesis 21: 9-21,https://youtu.be/IXL5l5aliOk,Los conflictos de la familia 
Carlos Hoyos ,Salmos 133,https://youtu.be/kDLYJskZDpk,El respeto y la honra en la familia 
Yamid Roa,Santiago 1:12-16,https://www.youtube.com/watch?v=mQjgpLtcf5E&list=PLrpPs_l_yVFoAg4w1RvyfokcLXdV5QFV0&index=1&ab_channel=EvangelismoDigital,El Joven y los deseos de la carne 
Yamid Roa,1 Reyes 3:5-13,https://www.youtube.com/watch?v=Z6lhaQwTaHM&list=PLrpPs_l_yVFoAg4w1RvyfokcLXdV5QFV0&index=2&ab_channel=Cristianos,Pide lo que quieras 
Yamid Roa,Marcos 16:15-18,https://www.youtube.com/watch?v=3u4MPi9NEzE&ab_channel=IPUCDistrito34,Lo que encierra el evangelio 
Yamid Roa,Santiago 1:12-15,https://www.youtube.com/live/EmTYhucd0o4?feature=share,Como vencer los deseos de la carne 
Olmedis Castro,Hechos 1,https://youtu.be/oAWgnUF_J3w,El espiritu santo en el siglo 21
Olmedis Castro,Juan 5,https://youtu.be/GQH_kHkTCUs ,Lo que solo Dios puede hacer
Olmedis Castro,Romanos 5:8,https://youtu.be/j4DO7UIb2Cs,No salgas de jerusalen 
Olmedis Castro,Juan 4,https://youtu.be/TFTSRyzeC5g ,De cuál fuente estás bebiendo
Alvaro Torres,Mateo 11:30,https://youtu.be/PXIvA0cf7g8 ,La fidelida
Alvaro Torres,2 Timoteo 2:15,https://youtu.be/Tz6VvzRdX54 ,La verdadera espiritualidad en el cristiano 
Alvaro Torres,Juan 14:1,https://youtu.be/vwyRQTBSDhc ,Como tener paz
Alvaro Torres,Marcos 1:14,https://youtu.be/YEYXJQXkjos  ,Fieles y constantes
Hector campuzano ,Hechos 4:20,https://youtu.be/1_d41ESvJUY ,No me pidan que me calle 
Hector campuzano ,Juan 15:9,https://youtu.be/uo4YJeHOpg8  ,Permanece en el amor
Hector campuzano ,Salmos 133,https://youtu.be/eH_79jAGqXE ,Dios jamas se olvidara de ti 
Hector campuzano ,Pablo 4: 7-8,https://youtu.be/EWOnP4_Wv44  ,Acercate a Dios con una actitud correcta
Franklin Salas,genesis 1: 1-2,https://youtu.be/aWmqu6Nk30c ,No puedes esconder la luz 
Franklin Salas,1 corintios 6: 16-17,https://youtu.be/8Cn-cWMRp4Q  ,El que se une al señor un espiritu es con el
Franklin Salas,Hechos 1:6,https://youtu.be/b1kHW-U-bCM ,Recibireis poder 
Franklin Salas,Juan 19:1,https://youtu.be/uKgQC9DINZk ,El eterno rey Jesus 
Oscar restrepo,Efesios  2:1-10,https://youtu.be/u6lOsGAWgbE ,¿Qué significa Ser Salvos?
Oscar restrepo,Mateo 24: 37-39,https://youtu.be/cBVUKGR_lJA ,La importancia de conocer y entender el tiempo
Oscar restrepo,Mateo 24: 12,https://youtu.be/ZQABB3IMse8 ,Modelo del creyente
Oscar restrepo,Juan 1: 35-42,https://youtu.be/4PmY-fKoqEc ,El ejemplo de Andrés para hacer misiones
